Bank_Name,Bank_Phone_number,Bank_Address,Bank_Website,Reviewer_Nane,Reviewer_Sart,Reviewer_Text,Reviewer_Publish_Date,Reviewer_Like_Reaction,Reviewer_Profil_Link,Reviewer_Owner_Reply,Reviewer_Owner_Reply_Date
Crédit du Maroc,05353-60265,"Avenue Hassan II, Midelt 20000",Not available,L SM,5,Bon!,il y a 4 ans,1,https://www.google.com/maps/contrib/116708181369065241221/reviews?hl=fr,,NAN
Crédit du Maroc,05353-60265,"Avenue Hassan II, Midelt 20000",Not available,anass akrram,5,NAN,il y a 9 mois,0,https://www.google.com/maps/contrib/104739680030894124474/reviews?hl=fr,,NAN
