Bank_Name,Bank_Phone_number,Bank_Address,Bank_Website,Reviewer_Nane,Reviewer_Sart,Reviewer_Text,Reviewer_Publish_Date,Reviewer_Like_Reaction,Reviewer_Profil_Link,Reviewer_Owner_Reply,Reviewer_Owner_Reply_Date
Banque Al-Maghrib,Not available,"63V9+RX7, Av. Mohamed V, Al Hoceïma",bkam.ma,Digitamed,3,NAN,il y a 2 ans,0,https://www.google.com/maps/contrib/106043195828798588055/reviews?hl=fr,,NAN
Banque Al-Maghrib,Not available,"63V9+RX7, Av. Mohamed V, Al Hoceïma",bkam.ma,Tadeas Rusnok,4,NAN,il y a 4 ans,0,https://www.google.com/maps/contrib/118369091525967240767/reviews?hl=fr,,NAN
Banque Al-Maghrib,Not available,"63V9+RX7, Av. Mohamed V, Al Hoceïma",bkam.ma,LOUN 0,5,NAN,il y a 6 ans,0,https://www.google.com/maps/contrib/103133562351401534023/reviews?hl=fr,,NAN
Banque Al-Maghrib,Not available,"63V9+RX7, Av. Mohamed V, Al Hoceïma",bkam.ma,Wulan Eka Maya Sari,5,NAN,il y a 6 ans,0,https://www.google.com/maps/contrib/102460614592784448624/reviews?hl=fr,,NAN
