Bank_Name,Bank_Phone_number,Bank_Address,Bank_Website,Reviewer_Nane,Reviewer_Sart,Reviewer_Text,Reviewer_Publish_Date,Reviewer_Like_Reaction,Reviewer_Profil_Link,Reviewer_Owner_Reply,Reviewer_Owner_Reply_Date
Crédit du Maroc,05377-43588,"Avenue Allal Ben Abdellah, Bouznika 20000",Not available,Said Chaabib,5,Cette agence crédit du Maroc est fermée et a été déplacée à Ben Slimane. Donc il vaut mieux ne pas la chercher.,il y a un an,1,https://www.google.com/maps/contrib/114900128758430353725/reviews?hl=fr,,NAN
Crédit du Maroc,05377-43588,"Avenue Allal Ben Abdellah, Bouznika 20000",Not available,Zakaria BOULOUARDE,1,"L'agence est fermée depuis juin 2022, je ne sais pas pourquoi elle est toujours ouvert sur maps, du n'importe quoi",il y a un an,1,https://www.google.com/maps/contrib/106167555851049100925/reviews?hl=fr,,NAN
Crédit du Maroc,05377-43588,"Avenue Allal Ben Abdellah, Bouznika 20000",Not available,Idabdellah Mohamed,1,Très mauvaise expérience,il y a 3 ans,0,https://www.google.com/maps/contrib/117799216884481974389/reviews?hl=fr,,NAN
Crédit du Maroc,05377-43588,"Avenue Allal Ben Abdellah, Bouznika 20000",Not available,chakib moukharij,1,C'est définitivement proche,il y a 10 mois,0,https://www.google.com/maps/contrib/112330987966298738487/reviews?hl=fr,,NAN
Crédit du Maroc,05377-43588,"Avenue Allal Ben Abdellah, Bouznika 20000",Not available,زكرياء سابع,1,NAN,il y a 5 ans,0,https://www.google.com/maps/contrib/115425340437255718963/reviews?hl=fr,,NAN
Crédit du Maroc,05377-43588,"Avenue Allal Ben Abdellah, Bouznika 20000",Not available,zakia warghi,5,NAN,il y a 7 ans,0,https://www.google.com/maps/contrib/115987751069314095508/reviews?hl=fr,,NAN
