Bank_Name,Bank_Phone_number,Bank_Address,Bank_Website,Reviewer_Nane,Reviewer_Sart,Reviewer_Text,Reviewer_Publish_Date,Reviewer_Like_Reaction,Reviewer_Profil_Link,Reviewer_Owner_Reply,Reviewer_Owner_Reply_Date
Crédit du Maroc,05366-10510,"Angle Bd Mohammed V et Rue Mokhtar Soussi, Berkane 20000",Not available,Rachid Berryah,1,NAN,il y a un an,0,https://www.google.com/maps/contrib/109239707975003720267/reviews?hl=fr,,NAN
Crédit du Maroc,05366-10510,"Angle Bd Mohammed V et Rue Mokhtar Soussi, Berkane 20000",Not available,محمد عامر,5,NAN,il y a 5 ans,0,https://www.google.com/maps/contrib/115885435308465358865/reviews?hl=fr,,NAN
Crédit du Maroc,05366-10510,"Angle Bd Mohammed V et Rue Mokhtar Soussi, Berkane 20000",Not available,H El jouhri,3,NAN,il y a 6 ans,0,https://www.google.com/maps/contrib/116643977012030350780/reviews?hl=fr,,NAN
Crédit du Maroc,05366-10510,"Angle Bd Mohammed V et Rue Mokhtar Soussi, Berkane 20000",Not available,mohammed tahri,5,NAN,il y a 7 ans,0,https://www.google.com/maps/contrib/106363000711343366424/reviews?hl=fr,,NAN
Crédit du Maroc,05366-10510,"Angle Bd Mohammed V et Rue Mokhtar Soussi, Berkane 20000",Not available,محمور فرج,1,NAN,il y a 9 ans,0,https://www.google.com/maps/contrib/100861813257397361430/reviews?hl=fr,,NAN
