Bank_Name,Bank_Phone_number,Bank_Address,Bank_Website,Reviewer_Nane,Reviewer_Sart,Reviewer_Text,Reviewer_Publish_Date,Reviewer_Like_Reaction,Reviewer_Profil_Link,Reviewer_Owner_Reply,Reviewer_Owner_Reply_Date
Crédit du Maroc,05286-02928,"Imm. Goujjani bd Bir Anzarane Route de Guelmim, Tiznit 20000",Not available,phil bleu,5,Banque comme toute les banques,il y a 7 ans,1,https://www.google.com/maps/contrib/115767534931238974867/reviews?hl=fr,,NAN
Crédit du Maroc,05286-02928,"Imm. Goujjani bd Bir Anzarane Route de Guelmim, Tiznit 20000",Not available,رمضان السلام,4,Ggggggggg,il y a 4 ans,1,https://www.google.com/maps/contrib/109088644445736315303/reviews?hl=fr,,NAN
Crédit du Maroc,05286-02928,"Imm. Goujjani bd Bir Anzarane Route de Guelmim, Tiznit 20000",Not available,Mohamed Id Elcadi,5,NAN,il y a un an,0,https://www.google.com/maps/contrib/108257131019306382220/reviews?hl=fr,,NAN
Crédit du Maroc,05286-02928,"Imm. Goujjani bd Bir Anzarane Route de Guelmim, Tiznit 20000",Not available,Kaoutar B20,5,NAN,il y a 6 ans,0,https://www.google.com/maps/contrib/116559018256597823710/reviews?hl=fr,,NAN
