Bank_Name,Bank_Phone_number,Bank_Address,Bank_Website,Reviewer_Nane,Reviewer_Sart,Reviewer_Text,Reviewer_Publish_Date,Reviewer_Like_Reaction,Reviewer_Profil_Link,Reviewer_Owner_Reply,Reviewer_Owner_Reply_Date
Crédit du Maroc,05366-98546,"Rue Moulay Abdellah, Taourirt 20000",Not available,Achraf Kasmi,5,NAN,il y a un an,0,https://www.google.com/maps/contrib/111367441902757118133/reviews?hl=fr,,NAN
Crédit du Maroc,05366-98546,"Rue Moulay Abdellah, Taourirt 20000",Not available,موسيقى الاسترخاء - Relaxing music,5,NAN,il y a 4 ans,0,https://www.google.com/maps/contrib/112365851611788141883/reviews?hl=fr,,NAN
Crédit du Maroc,05366-98546,"Rue Moulay Abdellah, Taourirt 20000",Not available,Mo Lm,1,NAN,il y a 7 ans,0,https://www.google.com/maps/contrib/112622164676748632993/reviews?hl=fr,,NAN
