Bank_Name,Bank_Phone_number,Bank_Address,Bank_Website,Reviewer_Nane,Reviewer_Sart,Reviewer_Text,Reviewer_Publish_Date,Reviewer_Like_Reaction,Reviewer_Profil_Link,Reviewer_Owner_Reply,Reviewer_Owner_Reply_Date
Attijariwafa Bank,05356-79730,"2HXG+3M5, Tahala",Not available,El Mostafa Zeggauoi,4,"Bonne agence bancaire, les gens sont gentils",il y a 4 ans,2,https://www.google.com/maps/contrib/115528567573466072096/reviews?hl=fr,,NAN
Attijariwafa Bank,05356-79730,"2HXG+3M5, Tahala",Not available,عبدالصمد دخيسي,5,"Attijariwafa Bank, Tahila",il y a 8 ans,1,https://www.google.com/maps/contrib/104118802596132535409/reviews?hl=fr,,NAN
Attijariwafa Bank,05356-79730,"2HXG+3M5, Tahala",Not available,ULENAM,5,service zwena,il y a un an,1,https://www.google.com/maps/contrib/116674789973245972547/reviews?hl=fr,,NAN
Attijariwafa Bank,05356-79730,"2HXG+3M5, Tahala",Not available,kamal boudali,1,NAN,il y a 2 ans,0,https://www.google.com/maps/contrib/114195550109469033532/reviews?hl=fr,,NAN
Attijariwafa Bank,05356-79730,"2HXG+3M5, Tahala",Not available,Khaoula Hassani,5,NAN,il y a 5 ans,0,https://www.google.com/maps/contrib/115552729470037165584/reviews?hl=fr,,NAN
Attijariwafa Bank,05356-79730,"2HXG+3M5, Tahala",Not available,Karam Brahimi,5,NAN,il y a 6 ans,0,https://www.google.com/maps/contrib/112589838621954723866/reviews?hl=fr,,NAN
